3a,,9a,,18a,
X,Y,X,Y,X,Y
1.8112535861495953,0.08742004264392111,2.5496118757679795,0.4669509594882708,4.776818483693939,0.010660980810231813
1.9027793835721383,0.23240938166311143,2.7107661117937614,0.4157782515991453,5.089533417402269,0.006396588486138111
2.0041783516214657,0.33475479744136294,2.9524114251298013,0.32196162046908094,6.01763296649521,0.0021321961620444085
2.1156010615271743,0.4243070362473338,3.244218468099067,0.17270788912579782,,
2.2268301798519516,0.4754797441364593,3.5463719055595746,0.07462686567163956,,
2.3681520339215467,0.4925373134328337,3.939534896226844,0.01918976545841966,,
2.539437562682,0.44989339019189534,4.625472887767971,0.006396588486138111,,
2.710486479510214,0.36034115138592515,6.017611456319557,-0.0021321961620497376,,
2.881599926865409,0.2835820895522363,,,,
3.1332044515308546,0.16417910447760997,,,,
3.374892785218208,0.07889125799573327,,,,
3.5765076616556915,0.04904051172707691,,,,
4.08074919941815,0.014925373134325959,,,,
4.504392108992059,0.0021321961620444085,,,,
5.250924265360281,0.0021321961620444085,,,,
6.007544694111864,0.0021321961620444085,,,,
